site type,truth site,site area,matched site models,spatial overlap,temporal iot,temporal iop,min spatial distance,central spatial distance,max spatial distance,min temporal distance,central temporal distance,max temporal distance,site count,association status,associated,color code,model type
negative,KR_R002_0077_te_2.0.1,0.0177289972,,,,,,,,,,,0,tn,False,6,stack
ignore,KR_R002_0078_te_2.0.1,0.0101931839,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0079_te_2.1.0,0.0130569757,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0081_te_2.0.1,0.0047147873,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0082_te_2.0.4,0.0671958748,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0083_te_2.0.4,0.025257573,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0084_te_2.0.1,0.0020100607,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0085_te_2.0.1,0.0035749996,,,,,,,,,,,0,0,False,12,stack
negative,KR_R002_0086_te_2.0.1,0.0083193711,,,,,,,,,,,0,tn,False,6,stack
ignore,KR_R002_0087_te_2.1.0,0.0068420891,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0089_te_2.0.1,0.0038658273,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0090_te_2.0.1,0.0017745008,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0091_te_2.0.1,0.0009887115,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0092_te_2.0.1,0.0055667012,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0097_te_2.0.1,0.0026750431,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0098_te_2.0.1,0.001882476,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0100_te_2.0.1,0.0014239661,,,,,,,,,,,0,0,False,12,stack
negative,KR_R002_0101_te_2.0.1,0.0235074921,,,,,,,,,,,0,tn,False,6,stack
ignore,KR_R002_0102_te_2.0.1,0.0074316184,,,,,,,,,,,0,0,False,12,stack
negative,KR_R002_0103_te_2.0.1,0.0028589832,,,,,,,,,,,0,tn,False,6,stack
negative,KR_R002_0104_te_2.0.1,0.0099259503,,,,,,,,,,,0,tn,False,6,stack
ignore,KR_R002_0105_te_2.0.1,0.0032435255,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0106_te_2.0.1,0.0051163617,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0107_te_2.0.1,0.0023980715,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0108_te_2.0.1,0.005290127,,,,,,,,,,,0,0,False,12,stack
negative,KR_R002_0118_te_2.0.1,0.0163483709,,,,,,,,,,,0,tn,False,6,stack
negative,KR_R002_0119_te_2.0.1,0.0101408871,,,,,,,,,,,0,tn,False,6,stack
negative,KR_R002_0120_te_2.0.1,0.0156582237,,,,,,,,,,,0,tn,False,6,stack
negative,KR_R002_0121_te_2.0.1,0.0353809879,,,,,,,,,,,0,tn,False,6,stack
ignore,KR_R002_0122_te_2.0.2,0.0547670828,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0123_te_2.0.1,0.0035442019,,,,,,,,,,,0,0,False,12,stack
negative,KR_R002_0124_te_2.0.1,0.0097063018,,,,,,,,,,,0,tn,False,6,stack
ignore,KR_R002_0125_te_2.0.1,0.0013623031,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0126_te_2.0.1,0.002583713,,,,,,,,,,,0,0,False,12,stack
positive_annotated,KR_R002_0127_te_2.1.0,0.0182942174,,,,,,,,,,,0,fn,False,3,stack
ignore,KR_R002_0128_te_2.0.1,0.006090859,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0129_te_2.0.2,0.0084520668,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0130_te_2.0.1,0.0022721978,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0131_te_2.0.1,0.0013888632,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0132_te_2.0.1,0.0013033344,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0133_te_2.0.1,0.0016691512,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0134_te_2.0.1,0.0015221978,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0135_te_2.0.1,0.0033285602,,,,,,,,,,,0,0,False,12,stack
negative,KR_R002_0136_te_2.0.1,0.0077050632,,,,,,,,,,,0,tn,False,6,stack
ignore,KR_R002_0137_te_2.0.3,0.0522519684,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0138_te_2.0.0,0.0044058778,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0139_te_2.1.0,0.0090801215,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0140_te_2.1.0,0.0098062293,,,,,,,,,,,0,0,False,12,stack
positive_partial,KR_R002_0141_te_2.1.0,0.0259303209,,,,,,,,,,,0,fn,False,3,stack
ignore,KR_R002_0142_te_2.0.0,0.009257713,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0143_te_2.0.0,0.0133775738,,,,,,,,,,,0,0,False,12,stack
positive_unbounded,KR_R002_0144_te_2.0.0,0.0171319236,,,,,,,,,,,0,0,False,9,stack
positive_unbounded,KR_R002_0145_te_2.0.0,0.0121850783,,,,,,,,,,,0,0,False,9,stack
ignore,KR_R002_0146_te_2.0.0,0.0071404089,,,,,,,,,,,0,0,False,12,stack
ignore,KR_R002_0147_te_2.0.0,0.0129450036,,,,,,,,,,,0,0,False,12,stack
