Min Confidence,F1_rho=0.5,spatial FAR_rho=0.5
0.0,0.8461538461538461,0.057508467529243185
0.1,0.8461538461538461,0.057508467529243185
0.2,0.8461538461538461,0.057508467529243185
0.3,0.8461538461538461,0.057508467529243185
0.4,0.8461538461538461,0.057508467529243185
0.5,0.88,0.019169489176414395
0.6,0.8,0.0
0.7,0.07142857142857142,0.0
0.8,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
